test,avg time
uf50-218 1,0.186
uf50-218 2,0.156
uf50-218 3,0.007
uf50-218 4,0.018
uf50-218 5,0.009
uf75-325 1,0.011
uf75-325 2,0.312
uf75-325 3,1.837
uf75-325 4,2.647
uf75-325 5,0.807
uf100-430 1,10.589
uf100-430 2,11.709
uf100-430 3,0.634
uf100-430 4,97.153
uf100-430 5,5.182
uuf50-218 1,0.091
uuf50-218 2,0.087
uuf50-218 3,0.072
uuf50-218 4,0.071
uuf50-218 5,0.113
uuf75-325 1,2.623
uuf75-325 2,1.477
uuf75-325 3,0.875
uuf75-325 4,1.113
uuf75-325 5,1.664
uuf100-430 1,40.215
uuf100-430 2,6.863
uuf100-430 3,21.725
uuf100-430 4,25.621
uuf100-430 5,10.69
